epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,600.303,0.76361,3.80216,1.07525,0.04684,0.62409,0.16929,0.14942,0.60451,3.70351,0.92019,0.000181472,0.000181472,0.000181472
2,1106.75,0.62541,3.12043,0.96974,0.80649,0.17642,0.32594,0.28398,0.62571,3.11421,0.98607,0.000354701,0.000354701,0.000354701
3,1598.59,0.65924,2.49316,1.00493,0.71336,0.41277,0.41206,0.35874,0.63449,1.99804,1.01343,0.000515698,0.000515698,0.000515698
4,2082.14,0.65545,2.05343,1.00759,0.75898,0.45294,0.57122,0.50724,0.65928,1.66833,1.03523,0.000500956,0.000500956,0.000500956
5,2569.84,0.6175,1.73496,0.98099,0.7601,0.42676,0.54996,0.48964,0.62827,1.59944,1.02155,0.000482608,0.000482608,0.000482608
6,3056.23,0.56284,1.4897,0.96091,0.77907,0.5668,0.63014,0.55871,0.59361,1.34259,1.01509,0.00046426,0.00046426,0.00046426
7,3575.78,0.54816,1.37307,0.94762,0.86734,0.53369,0.60528,0.53449,0.65921,1.40767,1.08075,0.000445912,0.000445912,0.000445912
8,4032.02,0.52335,1.25366,0.93779,0.65621,0.84397,0.82719,0.7468,0.56362,1.35602,0.98218,0.000427564,0.000427564,0.000427564
9,4512.62,0.51834,1.17194,0.92732,0.6133,0.87321,0.84249,0.76035,0.64,1.1706,1.04434,0.000409216,0.000409216,0.000409216
10,4984.16,0.51546,1.11644,0.92676,0.76077,0.78872,0.81219,0.73251,0.55437,1.08863,0.99093,0.000390868,0.000390868,0.000390868
11,5487.67,0.47326,1.09634,0.91473,0.64592,0.85756,0.83995,0.75229,0.57108,1.16627,1.00952,0.00037252,0.00037252,0.00037252
12,5959.54,0.4694,0.98403,0.90949,0.7607,0.82511,0.86909,0.79879,0.57431,1.0978,1.02656,0.000354172,0.000354172,0.000354172
13,6417.91,0.46181,0.95108,0.90108,0.8348,0.82077,0.90414,0.81995,0.58695,1.04888,1.02415,0.000335824,0.000335824,0.000335824
14,7063.99,0.46106,0.92982,0.90133,0.74021,0.88699,0.88812,0.81218,0.57683,1.08022,1.02442,0.000317476,0.000317476,0.000317476
15,7568.55,0.44278,0.88196,0.8968,0.83577,0.87764,0.89541,0.82292,0.56094,1.02338,1.02749,0.000299128,0.000299128,0.000299128
16,8004.52,0.4463,0.82597,0.89463,0.83905,0.83375,0.87943,0.80321,0.57145,1.0475,1.02957,0.00028078,0.00028078,0.00028078
17,8591.11,0.42157,0.78635,0.88329,0.88365,0.80149,0.86117,0.77378,0.58923,1.07211,1.05227,0.000262432,0.000262432,0.000262432
18,9271.54,0.42404,0.79797,0.88827,0.86194,0.78669,0.87861,0.79891,0.57026,1.01203,1.04576,0.000244084,0.000244084,0.000244084
19,9819.13,0.42215,0.77279,0.88968,0.88491,0.81954,0.88502,0.80664,0.56183,0.9677,1.03745,0.000225736,0.000225736,0.000225736
20,10551.8,0.42409,0.73863,0.88598,0.79319,0.90156,0.91609,0.82227,0.57489,1.00741,1.05092,0.000207388,0.000207388,0.000207388
21,11104.8,0.37515,0.79578,0.8633,0.88942,0.79975,0.8976,0.82376,0.57466,1.29389,1.03059,0.00018904,0.00018904,0.00018904
22,11604.2,0.3458,0.70795,0.84988,0.90071,0.84657,0.91682,0.8408,0.57324,0.95865,1.05648,0.000170692,0.000170692,0.000170692
23,12485.5,0.34016,0.66706,0.84271,0.91633,0.83194,0.9083,0.83551,0.5734,0.98867,1.06076,0.000152344,0.000152344,0.000152344
24,13393.7,0.33188,0.62731,0.83977,0.89246,0.83502,0.89375,0.819,0.57759,1.00826,1.06412,0.000133996,0.000133996,0.000133996
25,14436.6,0.32655,0.61525,0.8421,0.8699,0.87728,0.90398,0.83065,0.57395,0.98776,1.06504,0.000115648,0.000115648,0.000115648
26,15198.2,0.31996,0.60798,0.83667,0.90181,0.86608,0.91764,0.84717,0.55941,0.94267,1.05947,9.73e-05,9.73e-05,9.73e-05
27,17529.4,0.32004,0.60173,0.83809,0.92049,0.86316,0.92104,0.84601,0.56113,0.93654,1.05566,7.8952e-05,7.8952e-05,7.8952e-05
28,17904.5,0.30339,0.58243,0.83368,0.89372,0.86255,0.91967,0.8511,0.55354,0.91827,1.04977,6.0604e-05,6.0604e-05,6.0604e-05
29,18245.3,0.30556,0.55966,0.82715,0.91546,0.85565,0.91832,0.84377,0.55733,0.91721,1.05646,4.2256e-05,4.2256e-05,4.2256e-05
30,18691.1,0.29851,0.56179,0.82687,0.92115,0.84541,0.91127,0.84402,0.5583,0.92138,1.06134,2.3908e-05,2.3908e-05,2.3908e-05
